ADAM_ID,NAME,LONG_CONTENT_NOTE,SHORT_CONTENT_NOTE,NAME,WM_CONCAT(C.COUNTRY_CODE_ISO2A),START_DATE,SHORT_CONTENT_NOTE,LONG_CONTENT_NOTE
976451200,Intro to Los Lobos,1973 年成立於美國加州的 Los Lobos 曾多次獲得葛萊美獎。他們風格多變，搖滾、鄉村、民謠、R&B、藍調、靈魂樂皆有涉獵，不過墨西哥和 西班牙的傳統音樂是他們作品的最大特色。在 1984 年加入唱片大廠後發行的首張專輯《How Will The Wolf Survive?》獲得極高評價，為他 們累積了一群歌迷，而 1987 年發行的電影原聲帶更將他們推上事業高峰。,曾多次獲得葛萊美獎的 Los Lobos 在作品中揉合了濃濃的墨西哥和西班牙元素。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976451300,Family Tree: Lynyrd Skynyrd,Lynyrd Skynyrd 在 70 年代以美國南部搖滾風靡一時，他們的作品結合鄉村、民謠、藍調、硬搖滾等樂風，獨樹一格。這張歌單的音樂要麼是 Lynyrd Skynyrd 成員的單飛作品，要麼是他們加入了其他樂隊後的精彩演出。,Lynyrd Skynyrd 曾引領 70 年代的美國南部搖滾風潮，團員們各自的音樂作品同樣出色。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976451500,Intro to Tammy Wynette,創作歌手 Tammy Wynette 有著「鄉村音樂第一夫人」的頭銜，不但是鄉村音樂的代表人物，更是史上最賣座的女性鄉村歌手之一。她的歌曲從 初戀的甜美，到失戀的心傷，甚至錯綜複雜的關係都有，訴說愛情的真實面貌與心情，打動過無數人的心，從 60 到 70 年代，她的歌曲曾超 過二十次登上暢銷排行榜的冠軍寶座。她與同是鄉村歌手的 George Johns 堪稱鄉村音樂界的金童玉女，不但有許多經典浪漫對唱，並結為夫 妻，只可惜這段婚姻只維持六年，從她的歌聲中，也許也能聽到這段戀情的痛徹心扉。,被譽為「鄉村音樂第一夫人」， Tammy Wynette 的歌聲道盡愛情的甜美與苦澀。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976451600,They Might Be Giants: Songs for Kids,They Might Be Giants 以幽默風趣的表演風格聞名，更以帶給歌迷驚喜為己任。也許因為這個緣故，他們自 2005 年起就開始發行兒歌專輯， 寓教育於娛樂，為孩子譜出許多與字母、數字和科學有關的可愛曲目，當中的精彩歌曲盡皆收錄於本歌單內。,收錄由 They Might Be Giants 合唱，專為兒童譜寫的精彩歌曲。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976451700,Intro to Siouxsie & The Banshees,因為超愛 Sex Pistols，Siouxsie Sioux 跟貝斯手 Steve Severin 決定自己組團。踏入 80 年代，新浪潮和哥德成為樂團音樂風格。當時鮮 少以女聲領軍的樂團，Siouxsie Sioux 確是開了先河，華麗造型一新樂迷耳目，更給媒體譽為「最大膽的音樂冒險家」。他們每張專輯皆風格 鮮明，絕不重覆自己。1988 年，樂團推出的《Peepshow》，即使已是他們的第九張大碟，風格依然叫人看不透。儘管曲風突變，樂評人和樂迷 仍然繼續熱捧。,後龐克指標樂團 Siouxsie & The Banshees，由女聲領軍，特立獨行，自成一格！,zh-Hant,"HK,MO,TW",30-Apr-15,,
976452200,Country Hits: 1997,1997 年，除了已經廣為人知的 Kenny Chesney、Alan Jackson 和 Faith Hill 等人有暢銷作品問世之外，新人如 Mindy McCready 和 Michae l Peterson 也取得不錯的成績。,當年新舊鄉村唱將高手過招，好歌連連。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976452500,Intro to They Might Be Giants,怪咖都可變身搖滾明星？可是他們絕非一般怪咖！由 John Flansburgh 和 John Linnell 組成的另類樂團 They Might Be Giants ，用音樂搞 實驗是他們的正業。對經典流行音樂如數家珍，自己組團，又會玩出什麼花樣？從另類搖滾、power pop 到中東音樂，都信手拈來，渾然天成 。不過，說到最意想不到的，是這支美國搖滾樂團竟然創作了多張兒童音樂專輯，並且大受歡迎！,用童真打造搖滾，又用搖滾精神創作兒童音樂，They Might Be Giants 還真怪有趣的。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976452800,Great British Composers,從巴洛克大師蒲賽爾、十九世紀歌劇名家蘇利文、英國國民樂派代表艾爾加，到二十世紀英國當代最重要的作曲家布列頓，英國的古典音樂家 位位都優異出眾，作品不但沿襲歐陸傳統，更融入本土元素並勇於與時俱進，建造出自成一格的英倫古典王國。,人文氣息濃厚的英國，孕育了蒲賽爾、艾爾加和布列頓等著名作曲家，締造出眾多歷久不衰的經典。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976453300,Intro to John Adams,美國當代作曲家約翰亞當斯 (John Adams) 是 20 世紀其中一位最重要的簡約音樂大師。跟大部分簡約作曲家不同的是，他的音樂不強調音符 的微妙變化，反而呈現機械的聲響，且廣泛運用爵士樂、宗教音樂及民謠。約翰亞當斯於 70 年代晚期譜出代表作《Short Ride in a Fast Ma chine》。1987 年的歌劇《Nixon in China》更成為他進入主流市場的突破之作。2003 年約翰亞當斯又以合唱交響曲 《On the Transmigrati on of Souls》獲得普立茲獎。,約翰亞當斯是當代簡約音樂主義的代表人物之一，他的作品呈現兼容並蓄的現代都會風貌。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976453700,Behind the Boards: Martin Birch,,,zh-Hant,"HK,MO,TW",30-Apr-15,,
976453800,Neil Young: Ballads,Neil Young 是少數能與 Bob Dylan 相提並論的搖滾傳奇，他們皆從 60 年代活躍於樂壇至今。他以創作抗議歌曲著名，近期也十分關注環保 議題。但是你知道 Neil Young 也有很多動人情歌嗎？本歌單精選了他除了個人 solo 時期的作品之外，還有他在 Buffalo Springfield、Cro sby、Stills、Nash & Young 等赫赫有名的樂團中的抒情作品。,當今樂壇搖滾傳奇 Neil Young 的抗議、環保議題的歌曲和情歌全收錄。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976454000,Intro to Julianna Barwick,美國創作歌手 Julianna Barwick 自幼是教堂詩班成員，頌唱聖詠為她日後的音樂之路打下了良好的基礎。Julianna Barwick 的作品沒有歌詞 ，總是以她脫俗的聲音和簡單的片語為主軸。層層疊疊的交織，加上電子合成器的效果，配上鋼琴和其他樂器，感覺就如新世紀音樂 (new age ) 與民歌的交匯。首張專輯《The Magic Place》於 2011 年發表，專輯有如在偏遠無人的教堂灌錄的感覺，如碟名所言有魔幻的感覺。兩年後 推出在冰島錄製的大碟《Nepenthe》，靈感據說是來自當地令人驚嘆的自然環境，令人嚮往。,以脫俗歌聲和簡單片語為主軸，加上後期合成器的處理和簡約樂器編奏，帶來出塵唯美的實驗新音樂。,zh-Hant,,30-Apr-15,,
976454100,R.E.M.: Best of the I.R.S. Years,投進主流廠牌懷抱前，R.E.M. 已經是學院搖滾代表樂團之一。1987 年，他們推出了第五張亦是在 I.R.S. 發行的最後一張專輯《Document》 ，獲得壓倒性好評。回望在 I.R.S. 廠牌的歲月，他們火氣十足，銷售量或不能跟後來相比，但隱隱然已有成為世界級樂團的架式，對 Radioh ead 、Nirvana 這些超級樂團在創作上的影響更是非常大，就從這張歌單回顧 R.E.M. 在 I.R.S. 的黃金年代吧。,曾經青澀，曾經無畏，R.E.M. 在 I.R.S. 年代的音樂值得重溫。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976454500,Best of 50s Pop,Frank Sinatra、Dean Martin 和 Bobby Darin 等超級巨星的熱門單曲，不只在當年風靡全美，更廣泛流傳後世。這些作品不只旋律琅琅上口 ，歌詞也直達人心。快來感受 50 年代既甜美又細膩的樂韻吧！,這些難忘的旋律和音調將緊緊縈繞你心，揮之不去！,zh-Hant,"HK,MO,TW",30-Apr-15,,
976454600,Deftones: Influences,,,zh-Hant,"HK,MO,TW",1-Jul-15,,
976455000,Randy Travis: The 90s,,,zh-Hant,"HK,MO,TW",30-Apr-15,,
976455100,Intro to Rick Nelson,Rick Nelson 是入籍美國搖滾名人殿堂的傳奇搖滾歌手，喜愛老歌的樂迷可別錯過他的經典歌曲。,Rick Nelson 是入籍美國搖滾名人殿堂的傳奇搖滾歌手，喜愛老歌的樂迷可別錯過他的經典歌曲。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976455600,Inspired by Joy Division,,,zh-Hant,"HK,MO,TW",30-Apr-15,,
976455700,Inspired by The Rolling Stones,滾石樂隊是唯一能跟披頭四相提並論的英國搖滾樂團。他們的音樂橫跨多個世代，融合了鄉村、龐克、迷幻、雷鬼、搖滾等風格。屹立不倒的 滾石樂隊至今的影響力仍然巨大，從華麗搖滾到重金屬，從獨立搖滾到龐克搖滾，不同風格的音樂人都曾受到滾石樂隊的影響。,獨一無二、空前絕後的滾石樂隊，以超強實力衝擊全球樂壇。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976455900,Intro to Cee Lo Green,,,zh-Hant,"HK,MO,TW",30-Apr-15,,
976455900,Intro to Cee Lo Green,CeeLo Green 是美國知名歌手、製作人，他來自老牌嘻哈組合 Goodie Mob。Goodie Mob 用音樂敍述美國南部的人文風情為招牌，在饒舌界無 人不知。而 CeeLo Green 以個人名義發表的音樂，也深受大眾歡迎。《Forget You》、《It's Okay》等歌曲，都在歐美流行樂壇上受到熱烈 追捧。CeeLo Green 的作品以俏皮幽默的歌詞，配上朗朗上口的旋律，深入民心。他的音樂格獨特之處，在嘻哈中融入了藍調、爵士等風格， 引人入勝，魅力無限。,CeeLo Green 憑藉詼諧幽默，在嘻哈界一枝獨秀。,zh-Hant,,11-Nov-15,,
976456200,Intro to The Bad Plus,,,zh-Hant,"HK,MO,TW",30-Apr-15,,
976456200,Intro to The Bad Plus,美國三人組合 The Bad Plus，2000 年出道，是爵士界新星，成員包括 Ethan Iverson﹑Reid Anderson 和 Dave King。三人早是音樂狂迷， 深受各式曲風啟迪，Keith Jarrett 的舞台演繹﹑Black Sabbath 的搖滾節奏﹑Aphex Twin 的電子味道﹑還有 Stravinsky 的古典修養，都是 三人的靈感泉源。三人汲取各大師的音樂精華後，再融會貫通建立自己的獨有風格。近年經常與不同客席樂手合作，如 Joshua Redman 等，透 過即興現場演出，擦出新的音樂火花。,三個小伙子走在一起合組 The Bad Plus，把古今音樂融會貫通，自創獨有風格。,zh-Hant,,30-Apr-15,,
976457400,Best of Acéphale Records,小廠牌、大創意，說的就是 Acéphale。Acéphale 唱片公司旗下雖然沒有能生金蛋的樂團或歌手，但堅持創新，從不為市場左右。從專輯包裝 到樂風，都給予人破格、顛覆之感。雖說主打電音及夢幻流行的作品，但有時候亦會涉獵獨立搖滾和 R&B。將 How to Dress Well、Memory Ca ssette、Porcelain Raft 和 Elite Gymnastics 等獨立新貴收歸旗下，就正正貫徹了唱片公司求新求變的理念。,廠牌雖小，好歌俱全。旗下多位歌手皆是當今備受矚目的名字，說的是獨立唱片公司 Acéphale。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976457800,Ohio Rock,有「搖滾之都」之稱的美國的俄亥俄州，在首府克利夫蘭更有一座興建於 1984 年的搖滾名人堂博物館。早在 50 年代初期，這裡的廣播電台 已經率先播放搖滾樂，是搖滾先驅的集散地。70 年代盛行的龐克與新浪潮，以及之後的工業搖滾與車庫搖滾，當中許多知名的樂隊如 Pere Ub u、Devo、Nine Inch Nails 和 Black Keys 都是來自此地。在這張歌單裡，你將會聽到所有來自俄亥俄州的頂級搖滾樂。,有「搖滾之都」之稱的俄亥俄州，所出產的搖滾樂隊當然不遑多讓，你又怎能錯過。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976457900,Behind the Boards: Delly Ranx,來自牙買加，本名 Delroy Isaac Foster 的 Delly Ranx，除了是位知名的 dancehall DJ ，90 年代時期他也是一位非常出色的雷鬼歌手，以 一曲《No Gal No More Than You》打響名堂。在 2000 年之後，Delly Ranx 開始涉足音樂製作，除了包辦自己的音樂作品外，也陸續為 Sean Paul、Vybz Kartel 等多位雷鬼與 dancehall 歌手擔任製作。本歌單就收錄了一系列由 Delly Ranx 製作的精彩作品，見證他的實力。,從幕前退到幕後，繼續呈獻精彩的雷鬼佳作。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976458100,In the Mix: Soulwax,來自比利時的 Soulwax ，是搖滾與電音迷的最愛。LCD Soundsystem、Daft Punk、The Chemical Brothers 和 MGMT 的歌經 Soulwax 重新混 音後，更受樂迷及樂評喜愛。,比利時電子搖滾天團 Soulwax 是水準的保證，他們的混音作品讓電音與搖滾迷都愛不釋手。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976458200,Intro to Armin Van Buuren,,,zh-Hant,"HK,MO,TW",30-Apr-15,,
976458400,Intro to Big K.R.I.T.,,,zh-Hant,"HK,MO,TW",30-Apr-15,,
976458600,R&B Gems: 2000,本歌單精選 R&B 超級組合 Lucy Pearl 融合靈魂樂與 funk 元素的輕快俏皮單曲、英國樂團 Sade 韻味十足的抒情慢歌、R&B 天王 R. Kelly 在 2000 年全美音樂獎演唱的自白歌曲，還有其他更多千禧年的 R&B 好歌。,回到 2000 年，展開一場音樂淘寶之旅，揀選流失在時光隧道裡的 R&B 佳作 。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976458700,Rock Hits: 1986,,,zh-Hant,"HK,MO,TW",30-Apr-15,,
976459100,Mainstage Hits,,,zh-Hant,"HK,MO,TW",26-Jun-15,,
976459300,Intro to Junior Reid,遊走於雷鬼與嘻哈界的 Junior Reid，既是著名歌手，亦是金牌監製。至於他的風格，很難一概而論，成名作《One Blood》底子是雷鬼，外表 卻包裹著森巴的節奏感；與英國電音二人組 Coldcut 合作的《Stop This Crazy Thing》，感覺更像另類嘻哈。事實上，Junior Reid 與嘻哈 的關係相當密切，2007 年客串美國饒舌歌手 Mims 的《This Is Why I'm Hot》，更躍上當時排行榜百大單曲冠軍。,Junior Reid 是個創作才子，遊走於雷鬼與嘻哈之間。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976459700,Inspired by R. Kelly,,,zh-Hant,"HK,MO,TW",30-Apr-15,,
976459800,Intro to Neurosis,美國樂團 Neurosis 在 1985 年成軍，主力走極端 (extreme metal) 音樂路線。受到 Black Sabbath 的末日金屬 (doom metal) 和 Swans 的 噪音搖滾 (noise rock) 啟發，Neurosis 在 1993 及 1996 年，分別推出專輯《Enemy Of The Sun》和 《Through Silver In Blood》，成功 覓得風格上的突破。他們將 sludge metal 和民謠融合，並加入電子元素，改造了重金屬音樂的本質。直至廿一世紀，樂團依然活躍。,Neurosis 改造重金屬曲風，民謠加電子，開創音樂的無限可能性。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976460100,Intro to Macklemore,,,zh-Hant,"HK,MO,TW",30-Apr-15,,
976460200,Intro to Lupe Fiasco,,,zh-Hant,"HK,MO,TW",30-Apr-15,,
976460600,Sounds of Spectrum,,,zh-Hant,"HK,MO,TW",30-Apr-15,,
976461200,Intro to Salif Keïta,對抗宿命，從不認命，或者是 Salif Keita 能享有今天地位的重要原因之一。天生患白化病，又面對種姓制度的牽絆，他卻從沒有屈服，更以 充滿歡快節奏的非洲流行音樂成就自己的事業。他融合西非音樂與歐美音樂元素，結合大量樂器伴奏，層次豐富。他最為人樂道的，是其獨特 嗓音，唱盡人世百相、七情六慾，被譽為「非洲金嗓子」。,面對命運，他不屈。因為音樂，他解放。Salif Keita 用音樂述說人生黑與白。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976461500,Intro to Liars,從 80 年代後龐克風潮中汲取靈感，Liars 推陳出新，打造屬於自己的搖滾樂。在 Angus Andrews 領導下，樂團由紐約出發，再到柏林立業； 成軍以來，沒一張專輯不獲好評，也從沒有重覆過自己的腳步。後龐克、噪音搖滾、實驗搖滾他們一一嘗試過。2001 年，這支三人樂團推出首 張專輯《They Threw Us All in a Trench and Stuck a Monument on Top》，一鳴驚人。繼後大玩實驗搖滾的《Drum's Not Dead》更登上 Pi tchfork 「2006 年五十大專輯」第六位。2010 年，樂團則找來 Thom Yorke、Tunde Adebimpe 等人操刀製作《Sisterworld》。,Liar 以搖滾進行連場實驗，尋新路，找新聲。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976462200,Soul Hits: 1968,1968 年的靈魂音樂融入愈來愈多流行元素。靈魂天后 Aretha Franklin 一人以三首歌曲先後囊括了十星期的流行榜冠軍，與 James Brown 和 Marvin Gaye 分庭抗禮。而 The Delfonics 的冠軍作品更被視為情歌經典，歷年來曾被無數歌手重新演繹。,靈魂音樂的蛻變期,zh-Hant,"HK,MO,TW",30-Apr-15,,
976462700,"90s Movie Hits, Vol. 1",90 年代的電影以奇幻詭異見稱，是一代人的集體回憶。《駭客任務》（港譯廿二世紀殺人網絡）、《黑色追緝令》（港譯危險人物）等電影， 你應該不只看過一遍吧？就藉著這些電影的精彩配樂，重溫這年經典。,一代人的集體回憶,zh-Hant,"HK,MO,TW",23-Jun-15,,
976462800,Neutral Milk Hotel: Influences,獨立搖滾樂團 Neutral Milk Hotel 的靈魂人物 Jeff Magnum 擅於從不同風格的作品中取材。他聽著 Pink Floyd 和 The Beach Boys 長大， 作品中處處流著第一代獨立搖滾先驅的血液。搖滾民歌傳奇 Bob Dylan 和藝術搖滾始祖 Robert Wyatt 對 Neutral Milk Hotel 也有不能磨滅 的影響。,這支獨立搖滾樂團的作品可謂由百川滙流而成。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976462900,Orange Juice: Influences,在芸芸後龐克樂團中，Orange Juice 是特別耀眼的一組。不論創意或視野都比同儕更勝一籌，絕非隨波逐流之輩。在他們的音樂裡，並非只有 英美搖滾的因子；靈魂樂、funk、disco 都是構成他們作品的重要元素。本歌單集結了 Smokey Robinson & The Miracles、The Kinks 和 Cur tis Mayfield 等人的作品，音樂風格包羅萬有，對 Orange Juice 的影響甚鉅。,他們到底受過誰的啟發？,zh-Hant,"HK,MO,TW",30-Apr-15,,
976463100,Sigur Rós: Deep Cuts,Sigur Rós 的第二張專輯《Ágætis Byrjun》在 1999 年面世，為這隊冰島 後搖滾樂隊的音樂生涯帶來重大的轉變，他們憑著這張突破性的專 輯成功衝出冰島、走向國際，成為二十一世紀其中一隊享負盛名的樂團。Sigur Rós 別樹一幟的聲音，融合了夢幻流行、傳統民謠、氛圍電音 ，還有 Jón Þór Birgisson 如天使般的美妙聲音，為他們的後搖滾作品增添大自然的靈氣。此歌單精選出 Sigur Rós 的非主打好歌，他們用 交響樂伴奏，呈現出具電影感的聲音，夢幻又懾人心魄。,冰島後搖滾樂隊 Sigur Rós 的作品，就算是非主打也夢幻得叫人不能自拔。,zh-Hant,"HK,MO,TW",30-Apr-15,,
976463500,The Fall: The 2000s and Beyond,後龐克經典樂團 The Fall 從不介意大眾目光，從 70 年代起不間斷地為英國音樂投入新元素、引領新潮流。活躍於 80 年代的他們灌錄了不 少出色的作品，當人們認定前衛古怪和實驗性的後龐克是他們的標誌後，進入 2000 年代，樂風卻突然轉向即興爽朗的搖滾，給人出乎意料的 暢快感。,不斷蛻變、持續前進是 The Fall 宗旨，2000 年後 The Fall 的音樂，更是超乎你的想像！,zh-Hant,,30-Apr-15,,
976464500,Best of Psychobilly,Psychobilly 是結合龐克與 rockabilly 的一種曲風，常帶有黑暗或恐怖的氛圍。這種曲風的源頭可追溯到在 1972 年成立的樂團 The Cramps ，他們在宣傳專輯的時首次使用這個詞彙，後來這個樂風便繼續發展了下去。在 80 年代時出現了代表性樂團 The Meteors，後來更有 Dement ed Are Go、Mad Sin 和 Reverend Horton Heat 等樂團。在 90 年代龐克打入主流後，Psychobilly 結合龐克和 rockability 的流派也被更 多人聽到。,結合 Rockabilly 和龐克，在 90 年代隨龐克漸漸打入主流。,zh-Hant,"HK,MO,TW",30-Apr-15,,
985037400,Intro to France Gall,法國流行女歌手 France Gall 在 1963 年以青少年偶像之姿發行單曲《Ne sois pas si bête》，甫出道便受到歌迷熱烈歡迎，其後持續發行 音樂作品，成為法國家喻戶曉的女歌手。70 年代嫁給音樂製作人 Michel Berger 後，Berger 為 France Gall 打造了較偏向輕搖滾的音樂風 格，令 France Gall 的音樂事業再創高峰。雖然近年 France Gall 較少推出音樂作品，但仍因為其他歌手翻唱其作品而重新受到新世代歌迷 的注意。,1960 年代走紅法國的 France Gall，隨著時間而改變的音樂仍受矚目。,zh-Hant,,11-Apr-15,,
991155800,Alt-Country,,融合了搖滾元素的非主流鄉村音樂。,zh-Hant,"HK,MO,TW",27-May-15,,
991158500,Leon Lai: Deep Cuts,Leon 黎明喜歡不斷挑戰極限，從出道初期的典型港式情歌，到後來跟雷頌德一起打造舞曲、搖滾、民謠、電音等音樂類型，在在聽得到他對音 樂的熱誠和執著。黎明的情深說話，你或許聽過很多遍，那不如給他的非主打歌一個機會，說不定會帶來驚喜。,與其思考黎明的金句，倒不如花點時間欣賞他的非熱門好歌。,zh-Hant,"HK,MO,TW",30-Apr-15,,
991158800,Intro to Shirley Kwan,迷幻、techno、舞曲、流行，多樣曲風令關淑怡成為不一樣的香港女聲。透過日本歌唱選秀比賽走進樂壇，在日本推出了數張日本語專輯後， 於 1989 年回港推出首張粵語大碟《冬戀》。之後的專輯《難得有情人》叫好又叫座，奠定她 90 年代一線女聲的地位。商業的成功讓她敢於 玩自己喜歡的音樂風格。專輯《My Way》裡由林敏聽創作的歌曲充滿 techno 和 house 風格，於當時甚至今日的廣東歌壇都可算十分破格。《 'EX' All Time Favourites》翻唱別人的歌亦翻出全新花樣。90 年代尾和 2000 年代初的她曾幾度退隱，復出後曾跟麥浚龍、譚詠麟等歌手合 作。,她的歌聲好像從夢中飄來，她的音樂花樣百出，她就是關淑怡。,zh-Hant,"HK,MO,TW",30-Apr-15,,
991452000,Intro to Arvo Pärt,1935 年出生於愛沙尼亞的佩爾特 (Arvo Pärt) 是位天生的作曲家。他的早期作曲大多屬於新古典風格，後來他因受政治壓迫而進入潛沉階段 。這個時期他潛心研究中世紀的合唱作品，後來以迥異的風格復出。復出後的他喜歡使用簡單的和聲結構及穩定的節奏，創作出純粹且充滿靈 性感動的曲子。此音樂風格令他被歸類為神聖簡約主義作曲家。佩爾特的第四號交響曲曾獲葛萊美「最佳當代古典樂作曲」獎的提名，他更憑 2014 年的專輯《Adam's Lament》贏得葛萊美「最佳合唱團演出」獎。,晶瑩剔透的音符是他的招牌，佩爾特用音樂為你帶來最純粹的心靈饗宴。,zh-Hant,"HK,MO,TW",30-Apr-15,,
1004776200,Today's Hits,想聽現在最流行的歌曲？你找對歌單了！一首接一首最火紅的新歌馬上為你放送。,正在風靡全球的排行榜佳作。,zh-Hant,"HK,MO,TW",29-Jun-15,,
